ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title
ILMN_2058782,1.68E-24,3.44E-29,14.412821,53.63503,5.19,572871494,IFI27,interferon alpha inducible protein 27
ILMN_2038776,1.95E-15,7.99E-20,10.719645,32.04846,8.27E-01,349732252,TXN,thioredoxin
ILMN_1680314,3.9E-15,2.4E-19,10.53233,30.95186,8.38E-01,349732252,TXN,thioredoxin
ILMN_1750678,1.06E-13,8.69E-18,9.91735,27.36773,2.33,226529862,TIMD4,T-cell immunoglobulin and mucin domain containing 4
ILMN_1657760,1.34E-13,1.37E-17,-9.839336,26.91531,-1.07,815890923,SYT17,synaptotagmin 17
ILMN_2049021,1.36E-13,1.72E-17,9.800267,26.68897,1.09,1034974597,PTTG3P,"pituitary tumor-transforming 3, pseudogene"
ILMN_1753196,1.36E-13,1.96E-17,9.777789,26.55881,1.08,538260590,PTTG1,pituitary tumor-transforming 1
ILMN_1809817,1.98E-13,3.24E-17,-9.690536,26.0541,-1.27,194018461,CDHR3,cadherin related family member 3
ILMN_1901972,3.02E-13,5.57E-17,-9.597345,25.51597,-1.44,51652274,VAV3-AS1,VAV3 antisense RNA 1
ILMN_1763907,3.97E-13,8.13E-17,9.531844,25.13833,8.54E-01,557357701,CENPW,centromere protein W
ILMN_2143795,8.75E-13,1.97E-16,9.378344,24.25542,1.01,NA,,
ILMN_2249018,1.18E-12,2.91E-16,-9.310624,23.86687,-1.22,149363643,LRRC26,leucine rich repeat containing 26
ILMN_1745021,2.6E-12,6.92E-16,9.159899,23.00437,8.4E-01,52352802,SLC30A1,solute carrier family 30 member 1
ILMN_2219712,3.06E-12,8.79E-16,9.118339,22.76713,8.19E-01,194688131,HMGB2,high mobility group box 2
ILMN_1723978,4.19E-12,1.29E-15,9.051709,22.38734,9.57E-01,85815826,LGALS1,galectin 1
ILMN_1651610,5.25E-12,1.72E-15,-9.000862,22.09797,-1.10,384475545,SPRY1,sprouty RTK signaling antagonist 1
ILMN_1654210,8.81E-12,3.07E-15,-8.899423,21.52194,-1.02,110618226,CD1C,CD1c molecule
ILMN_1701455,1.16E-11,4.29E-15,8.840668,21.18909,1.24,209915567,FBXO6,F-box protein 6
ILMN_1654692,1.68E-11,6.54E-15,-8.766386,20.76914,-1.69,NA,,
ILMN_1805750,1.79E-11,7.34E-15,8.746205,20.65521,1.92,148612841,IFITM3,interferon induced transmembrane protein 3
ILMN_1724424,1.91E-11,8.24E-15,-8.725716,20.53962,-8.43E-01,156523245,PRRT2,proline rich transmembrane protein 2
ILMN_2413898,2.07E-11,9.34E-15,8.703594,20.41491,1.46,296011004,MCM10,minichromosome maintenance 10 replication initiation factor
ILMN_2042771,3.2E-11,1.53E-14,8.616152,19.92285,9.78E-01,538260590,PTTG1,pituitary tumor-transforming 1
ILMN_1845086,3.2E-11,1.57E-14,-8.611237,19.89523,-1.04,5817123,,
ILMN_1664631,3.3E-11,1.69E-14,-8.598757,19.82513,-1.34,748983358,ADAM28,ADAM metallopeptidase domain 28
ILMN_1680757,3.62E-11,1.93E-14,-8.575333,19.69364,-1.05,NA,,
ILMN_1685124,4.6E-11,2.55E-14,-8.526154,19.41793,-9.97E-01,291190746,TCTN1,tectonic family member 1
ILMN_1787648,6.14E-11,3.52E-14,-8.46834,19.09444,-1.17,NA,,
ILMN_1696846,6.28E-11,3.73E-14,8.458251,19.03805,1.29,NA,,
ILMN_1708728,9.61E-11,5.91E-14,8.376397,18.58138,8.3E-01,574957222,H2AFJ,H2A histone family member J
ILMN_1757467,9.62E-11,6.11E-14,8.370282,18.54732,1.19,85838503,H1F0,H1 histone family member 0
ILMN_1657515,1.06E-10,7.03E-14,-8.345267,18.40807,-6.86E-01,1016080637,RPS6KA5,ribosomal protein S6 kinase A5
ILMN_1670609,1.06E-10,7.2E-14,8.341093,18.38485,6.22E-01,72004264,ATOX1,antioxidant 1 copper chaperone
ILMN_1672128,1.29E-10,9.1E-14,8.299191,18.15195,3.38E-01,584277093,ATF4,activating transcription factor 4
